               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097254,            0.028827,              0.0566,           0.0073574,                   1,              0.1158,            0.033386,            0.061266,            0.022639,             0.05281,             0.07038,           0.0032911,           0.0032911
                   1,            0.065515,            0.023382,            0.049343,             0.26236,             0.31206,             0.30443,             0.10993,            0.062713,            0.016259,            0.045482,            0.038194,           0.0044384,           0.0044384
                   2,            0.055438,            0.018144,            0.044505,             0.60763,              0.4797,             0.49459,             0.18187,            0.053337,            0.013013,            0.039878,           0.0038076,           0.0033857,           0.0033857
