               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025818,           0.0088353,            0.002814,             0.90481,             0.90871,             0.94286,             0.60972,            0.028566,           0.0082386,           0.0085444,            0.006535,            0.006535,            0.006535
                  37,            0.026458,           0.0092467,           0.0026597,             0.82453,              0.8883,             0.90566,             0.53677,            0.030211,           0.0084766,            0.011017,            0.006436,            0.006436,            0.006436
                  38,            0.024988,           0.0086234,           0.0027507,             0.91253,             0.89208,             0.93426,             0.61822,            0.028735,           0.0086342,           0.0090545,            0.006337,            0.006337,            0.006337
                  39,            0.024677,           0.0087468,           0.0024051,             0.93358,             0.80847,             0.91386,             0.54796,            0.031145,           0.0090007,            0.010448,            0.006238,            0.006238,            0.006238
                  40,            0.025353,           0.0086086,           0.0020893,             0.82903,             0.85536,             0.91133,             0.57983,             0.02871,           0.0084621,            0.010229,            0.006139,            0.006139,            0.006139
                  41,             0.02436,           0.0086057,           0.0020763,             0.88022,             0.79339,             0.87526,             0.54863,            0.029328,           0.0084972,             0.01016,             0.00604,             0.00604,             0.00604
                  42,            0.024571,           0.0086057,           0.0024165,             0.85892,             0.80936,             0.88144,             0.56469,            0.028242,           0.0086827,            0.011076,            0.005941,            0.005941,            0.005941
                  43,             0.02303,           0.0085678,           0.0021369,             0.85701,             0.85161,             0.90962,             0.56824,            0.029362,           0.0083786,            0.014059,            0.005842,            0.005842,            0.005842
                  44,            0.023672,           0.0082183,           0.0019739,             0.89035,             0.84556,               0.911,             0.57583,            0.029288,           0.0086432,            0.012575,            0.005743,            0.005743,            0.005743
                  45,            0.023474,           0.0082632,           0.0022717,             0.88386,             0.82348,             0.91169,             0.60218,            0.027085,           0.0082191,            0.013209,            0.005644,            0.005644,            0.005644
                  46,             0.02325,           0.0080724,           0.0021342,             0.84922,             0.84789,             0.90559,             0.56034,            0.029615,           0.0088248,            0.014139,            0.005545,            0.005545,            0.005545
                  47,            0.022855,            0.008013,           0.0022629,             0.78043,             0.91288,             0.93233,             0.60774,            0.028275,           0.0086845,            0.018986,            0.005446,            0.005446,            0.005446
                  48,            0.023623,           0.0082729,           0.0019316,             0.82457,             0.83292,             0.91713,             0.54243,            0.030294,           0.0096632,            0.014664,            0.005347,            0.005347,            0.005347
                  49,            0.022095,           0.0079601,           0.0018892,             0.88324,             0.83207,             0.92976,             0.59093,            0.029005,           0.0091299,            0.012009,            0.005248,            0.005248,            0.005248
                  50,              0.0213,           0.0078979,            0.001809,             0.86991,             0.77903,             0.91159,             0.58793,            0.028022,           0.0088533,            0.019247,            0.005149,            0.005149,            0.005149
                  51,             0.02174,             0.00796,           0.0016764,             0.92499,               0.818,              0.9205,             0.59871,            0.027916,           0.0090366,            0.012222,             0.00505,             0.00505,             0.00505
                  52,            0.021454,           0.0078778,           0.0017609,             0.87641,             0.85745,              0.9122,             0.61128,            0.027678,           0.0090501,           0.0092386,            0.004951,            0.004951,            0.004951
                  53,             0.02137,           0.0079789,            0.001919,             0.88033,             0.86425,             0.91606,             0.53526,             0.03126,            0.009089,            0.012159,            0.004852,            0.004852,            0.004852
                  54,            0.021243,           0.0078095,           0.0014627,             0.87494,             0.84273,             0.91279,             0.58153,            0.028177,           0.0093453,            0.013176,            0.004753,            0.004753,            0.004753
                  55,            0.020995,           0.0079139,           0.0016518,             0.88263,             0.86797,             0.91892,             0.59709,            0.027708,           0.0086498,             0.01281,            0.004654,            0.004654,            0.004654
                  56,            0.021285,           0.0077449,           0.0017533,             0.89202,              0.8354,             0.92676,              0.5796,            0.029352,            0.008989,            0.011856,            0.004555,            0.004555,            0.004555
                  57,            0.020496,           0.0075687,           0.0018593,             0.91503,             0.85163,              0.9214,             0.60501,            0.027643,           0.0095825,            0.011076,            0.004456,            0.004456,            0.004456
                  58,            0.020125,           0.0073994,           0.0015871,             0.90006,             0.90449,             0.92907,             0.60345,            0.027648,           0.0099477,           0.0097962,            0.004357,            0.004357,            0.004357
                  59,            0.020507,           0.0077897,           0.0015992,             0.94069,             0.81278,             0.93396,             0.61424,            0.027936,           0.0088149,            0.011046,            0.004258,            0.004258,            0.004258
                  60,            0.020144,           0.0076192,            0.001272,             0.91291,             0.86822,             0.91589,             0.60952,            0.028182,           0.0095731,           0.0081636,            0.004159,            0.004159,            0.004159
                  61,            0.020118,            0.007453,           0.0015099,             0.95181,             0.85315,             0.95121,             0.61964,            0.027854,           0.0089279,            0.011148,             0.00406,             0.00406,             0.00406
                  62,              0.0194,           0.0077656,           0.0018166,             0.81594,             0.85469,              0.9162,              0.5969,            0.028171,           0.0099721,            0.018711,            0.003961,            0.003961,            0.003961
                  63,            0.019309,           0.0074404,             0.00166,             0.93288,             0.78129,             0.92546,             0.60655,            0.028611,           0.0095331,            0.013312,            0.003862,            0.003862,            0.003862
                  64,             0.01908,           0.0073409,           0.0013261,             0.93725,             0.82318,              0.9183,             0.59038,            0.028564,           0.0093117,            0.013151,            0.003763,            0.003763,            0.003763
                  65,            0.018668,           0.0074712,           0.0014552,             0.94435,             0.82208,             0.91693,             0.60555,            0.028004,            0.010081,             0.01031,            0.003664,            0.003664,            0.003664
